"Package","DependsPageRank","SuggestsPageRank","ImportsPageRank","Date"
"copula",0.000261932296951354,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"corpcor",0.00102232543742446,6.67011182218414e-05,0.000315696006531482,"2009-11-19"
"corpora",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"CORREP",0.000152996973309611,6.19403276904166e-05,0.000315696006531482,"2009-11-19"
"CoxBoost",0.000152996973309611,7.42067291285488e-05,0.000315696006531482,"2009-11-19"
"coxme",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"coxphf",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"coxphw",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"coxrobust",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"COZIGAM",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"CPE",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cramer",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"crawl",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"CreditMetrics",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"crossdes",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"crosshybDetector",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"csampling",0.000152996973309607,6.38017138913983e-05,0.000315696006531482,"2009-11-19"
"cshapes",0.000152996973309607,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"ctv",0.000152996973309609,8.93129164387097e-05,0.000315696006531482,"2009-11-19"
"cudaBayesreg",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"curvetest",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"CVThresh",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cwhmisc",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cyclones",0.000183256785432314,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"DAAG",0.000152996973309607,0.000140719559218609,0.000315696006531482,"2009-11-19"
"DAAGbio",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"DAAGxtras",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"Daim",0.000152996973309611,5.80029052305102e-05,0.000315696006531482,"2009-11-19"
"DAKS",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"data.table",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
